country,province,population,Lat,Long
Massachusetts,prvc,6949503,42.407211,-71.382437
Michigan,prvc,9986857,44.314844,-85.602364
Minnesota,prvc,5639632,46.729553,-94.6859
Mississippi,prvc,2976149,32.354668,-89.398528
Missouri,prvc,6137428,37.964253,-91.831833
Montana,prvc,1068778,46.879682,-110.362566
Nebraska,prvc,1934408,41.492537,-99.901813
Nevada,prvc,3080156,38.80261,-116.419389
New Hampshire,prvc,1359711,43.193852,-71.572395
New Jersey,prvc,8882190,40.058324,-74.405661
New Mexico,prvc,2096829,34.97273,-105.032363
New York,prvc,19453561,43.299428,-74.217933
North Carolina,prvc,10488084,35.759573,-79.0193
North Dakota,prvc,762062,47.551493,-101.002012
Northern Mariana Islands,prvc,55194,15.183333,145.75
Ohio,prvc,11689100,40.417287,-82.907123
Oklahoma,prvc,3956971,35.007752,-97.092877
Oregon,prvc,4217737,43.804133,-120.554201
Pennsylvania,prvc,12801989,41.203322,-77.194525
Puerto Rico,prvc,3193694,18.220833,-66.590149
Rhode Island,prvc,1059361,41.580095,-71.477429
South Carolina,prvc,5148714,33.836081,-81.163725
South Dakota,prvc,884659,43.969515,-99.901813
Tennessee,prvc,6833174,35.517491,-86.580447
Texas,prvc,28995881,31.968599,-99.901813
Utah,prvc,3205958,39.32098,-111.093731
Vermont,prvc,623989,44.558803,-72.577841
Virgin Islands,prvc,104914,34.297878,-83.824066
Virginia,prvc,8535519,37.431573,-78.656894
Washington,prvc,7614893,47.751074,-120.740139
West Virginia,prvc,1792147,38.597626,-80.454903
Wisconsin,prvc,5822434,43.78444,-88.787868
Wyoming,prvc,578759,43.075968,-107.290284
